,0,1
0,4,9
1,9,12
2,17,15
3,24,3
4,12,23
5,31,5
6,10,32
7,32,17
8,8,35
9,37,8
10,32,22
11,23,33
12,38,12
13,18,38
14,43,6
15,7,44
16,12,44
17,49,4
18,49,9
19,47,22
20,49,25
21,53,13
22,3,54
23,55,9
24,46,34
25,22,53
26,18,55
27,30,52
28,5,59
29,31,55
30,54,38
31,64,15
32,66,3
33,10,66
34,26,63
35,59,35
36,65,25
37,69,16
38,18,69
39,28,66
40,60,41
41,22,70
42,26,70
43,58,49
44,50,59
45,44,64
46,41,66
47,71,35
48,62,51
49,72,37
50,58,57
51,49,65
52,36,74
53,63,54
54,40,73
55,77,33
56,25,80
57,40,75
58,74,42
59,6,84
60,70,49
61,47,72
62,30,82
63,38,79
64,44,77
65,62,64
66,57,69
67,51,74
68,26,87
69,90,8
70,86,30
71,77,50
72,54,75
73,79,48
74,78,51
75,57,74
76,77,53
77,77,54
78,64,71
79,64,72
80,16,95
81,46,86
82,16,96
83,41,90
84,43,90
85,66,76
86,86,55
87,79,65
88,69,77
89,94,44
90,74,74
91,68,81
92,65,87
93,66,89
94,79,82
95,81,81
96,85,77
97,76,86
98,88,77
99,94,75
